parent,name,scientific,rank,image_url
Wühler,Hamster,Cricetinae,Unterfamilie,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cricetus_cricetus_-_Feldhamster_-_1120_Wien_6_%28cropped%29.jpg/100px-Cricetus_cricetus_-_Feldhamster_-_1120_Wien_6_%28cropped%29.jpg
Hamster,Grosshamster,Cricetus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cricetus_cricetus_-_Feldhamster_-_1120_Wien_6_%28cropped%29.jpg/100px-Cricetus_cricetus_-_Feldhamster_-_1120_Wien_6_%28cropped%29.jpg
Grosshamster,Feldhamster,Cricetus cricetus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cricetus_cricetus_-_Feldhamster_-_1120_Wien_6_%28cropped%29.jpg/100px-Cricetus_cricetus_-_Feldhamster_-_1120_Wien_6_%28cropped%29.jpg
Hamster,Graue Zwerghamster,Cricetulus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Chinese_Hamster.jpg/100px-Chinese_Hamster.jpg
Graue Zwerghamster,Grauer Zwerghamster,Cricetulus migratorius,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Cricetulus_migratorius_31004830.jpg/100px-Cricetulus_migratorius_31004830.jpg
Hamster,Kurzschwanz-Zwerghamster,Phodopus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Phodopus_roborovskii_sand.JPG/100px-Phodopus_roborovskii_sand.JPG
Kurzschwanz-Zwerghamster,Dsungarischer Zwerghamster,Phodopus sungorus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Drops_futtert.jpg/100px-Drops_futtert.jpg
Kurzschwanz-Zwerghamster,Campbell-Zwerghamster,Phodopus campbelli,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Campbell_hamster.jpg/100px-Campbell_hamster.jpg
Mäuseverwandte,Springmäuse,Dipodidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Jaculus_orientalis_Stuffed_specimen_2.jpg/100px-Jaculus_orientalis_Stuffed_specimen_2.jpg
Springmäuse,Wüstenspringmäuse,Jaculus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Jaculus_orientalis.jpg/100px-Jaculus_orientalis.jpg
Mäuseverwandte,Langschwanzmäuse,Muridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/180429-Waldmaus-01.jpg/100px-180429-Waldmaus-01.jpg
Langschwanzmäuse,Altweltmäuse,Murinae,Unterfamilie,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/180424-Waldmaus-05.jpg/100px-180424-Waldmaus-05.jpg
Altweltmäuse,Waldmäuse,Apodemus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/180429-Waldmaus-01.jpg/100px-180429-Waldmaus-01.jpg
Waldmäuse,Waldmaus,Apodemus sylvaticus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/ApodemusSylvaticus.jpg/100px-ApodemusSylvaticus.jpg
Altweltmäuse,Mäuse,Mus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/House_mouse.jpg/100px-House_mouse.jpg
Mäuse,Hausmaus,Mus musculus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/%D0%9C%D1%8B%D1%88%D1%8C_3.jpg/100px-%D0%9C%D1%8B%D1%88%D1%8C_3.jpg
Altweltmäuse,Ratten,Rattus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/WildRat.jpg/100px-WildRat.jpg
Ratten,Wanderratte,Rattus norvegicus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Co-swand-09-12.jpg/100px-Co-swand-09-12.jpg
Ratten,Hausratte,Rattus rattus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Rattus_rattus_01.JPG/100px-Rattus_rattus_01.JPG
Altweltmäuse,Zwergmaus,Micromys,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Micromysminutus1.jpg/100px-Micromysminutus1.jpg
Langschwanzmäuse,Rennmäuse,Gerbillinae,Unterfamilie,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Mongolische_Wuestenrennmaus.jpg/100px-Mongolische_Wuestenrennmaus.jpg
Rennmäuse,Rennratten,Meriones,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Meriones_crassus_01.jpg/100px-Meriones_crassus_01.jpg
Rennratten,Mongolische Rennratte,Meriones unguiculatus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Meriones_unguiculatus_-_Wilhelma.jpg/100px-Meriones_unguiculatus_-_Wilhelma.jpg
Rennmäuse,Fettschwanz-Rennmaus,Pachyuromys duprasi,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/%D0%96%D0%B8%D1%80%D0%BD%D0%BE%D1%85%D0%B2%D0%BE%D1%81%D1%82%D0%B0%D1%8F_%D0%BF%D0%B5%D1%81%D1%87%D0%B0%D0%BD%D0%BA%D0%B0_%28Pachyuromys_duprasi%29%2C_Fettschwanz-Rennmaus%2C_Fat-tailed_gerbil%2C_06.03.2010.jpg/100px-%D0%96%D0%B8%D1%80%D0%BD%D0%BE%D1%85%D0%B2%D0%BE%D1%81%D1%82%D0%B0%D1%8F_%D0%BF%D0%B5%D1%81%D1%87%D0%B0%D0%BD%D0%BA%D0%B0_%28Pachyuromys_duprasi%29%2C_Fettschwanz-Rennmaus%2C_Fat-tailed_gerbil%2C_06.03.2010.jpg
Nagetiere,Biberverwandte,Castorimorpha,Unterordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Beaver_2.jpg/100px-Beaver_2.jpg
Biberverwandte,Biber,Castoridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/American_Beaver.jpg/100px-American_Beaver.jpg
Biber,Castor,Castor,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/American_Beaver.jpg/100px-American_Beaver.jpg
Castor,Europäischer Biber,Castor fiber,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Beaver_pho34.jpg/100px-Beaver_pho34.jpg
Castor,Kanadischer Biber,Castor canadensis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Castor_canadensis.jpg/100px-Castor_canadensis.jpg
Biberverwandte,Taschenratten,Geomyidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Pocket-Gopher_Ano-Nuevo-SP.jpg/100px-Pocket-Gopher_Ano-Nuevo-SP.jpg
Euarchontoglires,Riesengleiter (O),Dermoptera,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kaguaani_02.jpg/100px-Kaguaani_02.jpg
Riesengleiter (O),Riesengleiter,Cynocephalidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kaguaani_02.jpg/100px-Kaguaani_02.jpg
Riesengleiter,Philippinen-Gleitflieger,Cynocephalus volans,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Flying_Lemur_%26_Baby%2C_Bohol.jpg/100px-Flying_Lemur_%26_Baby%2C_Bohol.jpg
Riesengleiter,Malaien-Gleitflieger,Galeopterus variegatus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Galeopterus_variegatus_-_Malaien-Gleitflieger_196210846.jpg/100px-Galeopterus_variegatus_-_Malaien-Gleitflieger_196210846.jpg
Euarchontoglires,Primaten,Primates,Ordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/500px_photo_%28188689961%29.jpeg/100px-500px_photo_%28188689961%29.jpeg
Primaten,Feuchtnasenprimaten,Strepsirrhini,Unterordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Suborder_Strepsirrhini.jpg/100px-Suborder_Strepsirrhini.jpg
Feuchtnasenprimaten,Daubentoniidae,Daubentoniidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Wild_aye_aye.jpg/100px-Wild_aye_aye.jpg
Daubentoniidae,Fingertier,Daubentonia madagascariensis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Wild_aye_aye.jpg/100px-Wild_aye_aye.jpg
Feuchtnasenprimaten,Lemuren,Lemuriformes,Teilordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Ruffed_Lemur_Singapore.JPG/100px-Ruffed_Lemur_Singapore.JPG
Lemuren,Gewöhnliche Makis,Lemuridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Maki.jpg/100px-Maki.jpg
Gewöhnliche Makis,Katta,Lemur catta,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Katta_8467.jpg/100px-Katta_8467.jpg
Gewöhnliche Makis,Schwarzweisser Vari,Varecia variegata,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Ruffed_Lemur_Singapore.JPG/100px-Ruffed_Lemur_Singapore.JPG
Lemuren,Katzenmakis,Cheirogaleidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/CHEIROGALEUS-1.JPG/100px-CHEIROGALEUS-1.JPG
Katzenmakis,Goodman-Mausmaki,Microcebus lehilahytsara,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/GoodmanMouseLemur.jpg/100px-GoodmanMouseLemur.jpg
Lemuren,Lepilemuridae,Lepilemuridae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Red-tailed_Sportive_Lemur%2C_Kirindy%2C_Madagascar.jpg/100px-Red-tailed_Sportive_Lemur%2C_Kirindy%2C_Madagascar.jpg
Lepilemuridae,Kleinzahn-Wieselmaki,Lepilemur microdon,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Lepilemur_microdon_002.jpg/100px-Lepilemur_microdon_002.jpg
Feuchtnasenprimaten,Loriartige,Lorisiformes,Teilordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Sri_Lankan_Slender_Loris_1.jpg/100px-Sri_Lankan_Slender_Loris_1.jpg
Loriartige,Loris,Lorisidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Loris_lydekkerianus_nordicus_003.jpg/100px-Loris_lydekkerianus_nordicus_003.jpg
Loris,Gewöhnlicher Bärenmaki,Arctocebus calabarensis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/ArctocebusCalabarensisWolf.jpg/100px-ArctocebusCalabarensisWolf.jpg
Loris,Grauer Schlanklori,Loris lydekkerianus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Slender_Loris.jpg/100px-Slender_Loris.jpg
Loriartige,Galagos,Galagonidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Komba_u%C5%A1at%C3%A1.jpg/100px-Komba_u%C5%A1at%C3%A1.jpg
Galagos,Senegal-Galago,Galago senegalensis,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Komba_u%C5%A1at%C3%A1.jpg/100px-Komba_u%C5%A1at%C3%A1.jpg
Primaten,Trockennasenprimaten,Haplorrhini,Unterordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Bonobo_at_Apenheul_Primate_Park.jpg/100px-Bonobo_at_Apenheul_Primate_Park.jpg
Trockennasenprimaten,Affen,Anthropoidea,Teilordnung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Abuko_monkey.jpg/100px-Abuko_monkey.jpg
Affen,Neuweltaffen,Platyrrhini,ohne Rang,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Cebus_capucinus%2C_Costa_Rica.JPG/100px-Cebus_capucinus%2C_Costa_Rica.JPG
Neuweltaffen,Sakiaffen,Pitheciidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Bearded_saki_%28Chiropotes_sp%29-8.jpg/100px-Bearded_saki_%28Chiropotes_sp%29-8.jpg
Sakiaffen,Sakis,Pithecia,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Pithecia_irrorata_-Brazil-8b.jpg/100px-Pithecia_irrorata_-Brazil-8b.jpg
Sakis,Weisskopfsaki,Pithecia pithecia,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Singapore_Zoo_White_Faced_Monkey-1_%286593539663%29.jpg/100px-Singapore_Zoo_White_Faced_Monkey-1_%286593539663%29.jpg
Sakis,Goldgesichtsaki,Pithecia chrysocephala,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/White-faced_saki_monkey_%2813945304642%29.jpg/100px-White-faced_saki_monkey_%2813945304642%29.jpg
Sakiaffen,Satansaffe,Chiropotes satanas,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Bearded_saki_%28Chiropotes_sp%29-8.jpg/100px-Bearded_saki_%28Chiropotes_sp%29-8.jpg
Sakiaffen,Roter Uakari,Cacajao rubicundus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Male_uakari.jpg/100px-Male_uakari.jpg
Neuweltaffen,Krallenaffen,Callitrichidae,Familie,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/SAGUI-DE-TUFOS-BRANCOS.jpg/100px-SAGUI-DE-TUFOS-BRANCOS.jpg
Krallenaffen,Saguinus,Saguinus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Emperor_Tamarin_SF_ZOO.jpg/100px-Emperor_Tamarin_SF_ZOO.jpg
Saguinus,Lisztaffe,Saguinus oedipus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Lisztaffe_-_Cottontop_Tamarin_-_Saguinus_oedipus.jpg/100px-Lisztaffe_-_Cottontop_Tamarin_-_Saguinus_oedipus.jpg
Saguinus,Kaiserschnurrbarttamarin,Saguinus imperator,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Saguinus_imperator_%28in_tree%29.jpg/100px-Saguinus_imperator_%28in_tree%29.jpg
Krallenaffen,Löwenäffchen,Leontopithecus,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Goldkopfloewenaeffchen1.jpg/100px-Goldkopfloewenaeffchen1.jpg
Krallenaffen,Zwergseidenäffchen,Cebuella,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Dv%C3%A6rgsilkeabe_Callithrix_pygmaea.jpg/100px-Dv%C3%A6rgsilkeabe_Callithrix_pygmaea.jpg
Krallenaffen,Büschelaffen,Callithrix,Gattung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Common_Marmoset_1280.jpg/100px-Common_Marmoset_1280.jpg
Büschelaffen,Weissbüschelaffe,Callithrix jacchus,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Common_Marmoset_1280.jpg/100px-Common_Marmoset_1280.jpg
Büschelaffen,Gelbkopf-Büschelaffe,Callithrix flaviceps,Art,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Callithrix_flaviceps.jpg/100px-Callithrix_flaviceps.jpg
